time, total-urns, total-namespaces
2025-01-23 05:10, 61826836, 466
2025-01-24 05:10, 61853736, 466
2025-01-25 05:09, 61863866, 466
2025-01-26 05:09, 61871713, 466
2025-01-27 05:10, 61878930, 466
2025-01-28 05:11, 61888069, 466
2025-01-29 05:10, 61895156, 466
2025-01-30 05:11, 61911149, 466
2025-01-31 05:10, 61936957, 466
2025-02-01 05:10, 61965686, 466
2025-02-02 05:10, 61988269, 466
2025-02-03 05:11, 61998694, 466
2025-02-04 05:11, 62017143, 466
2025-02-05 05:11, 62053380, 466
2025-02-06 05:11, 62087990, 466
2025-02-07 05:10, 62099431, 466
2025-02-08 05:10, 62108411, 466
2025-02-09 05:10, 62117294, 466
2025-02-10 05:12, 62121263, 466
2025-02-11 05:10, 62128354, 466
2025-02-12 05:11, 62134746, 466
2025-02-13 05:11, 62146519, 466
2025-02-14 05:10, 62162203, 466
2025-02-15 05:10, 62173373, 466
2025-02-16 05:10, 62182681, 466
2025-02-17 05:11, 62190917, 466
2025-02-18 05:11, 62201702, 466
2025-02-19 05:02, 62213176, 466
2025-02-20 05:02, 62227678, 466
2025-02-21 05:02, 62240715, 466
2025-02-22 05:02, 62260417, 466
2025-02-23 05:02, 62267998, 466
2025-02-24 05:02, 62277307, 466
2025-02-25 05:02, 62287632, 466
2025-02-26 05:02, 62304034, 466
2025-02-27 05:02, 62318253, 466
2025-02-28 05:02, 62334568, 466
2025-03-01 05:02, 62343838, 466
2025-03-02 05:02, 62356414, 466
2025-03-03 05:02, 62365465, 466
2025-03-04 05:02, 62371708, 466
2025-03-05 05:02, 62385219, 466
2025-03-06 05:02, 62401991, 466
2025-03-07 05:02, 62414559, 466
2025-03-08 05:02, 62449733, 466
2025-03-09 05:02, 62460333, 466
2025-03-10 05:02, 62474870, 466
2025-03-11 05:02, 62491809, 466
2025-03-12 05:02, 62505662, 466
2025-03-13 05:02, 62522971, 467
2025-03-14 05:02, 62537644, 467
2025-03-15 05:02, 62552624, 467
2025-03-16 05:02, 62565598, 467
2025-03-17 05:02, 62578503, 467
2025-03-18 05:02, 62587648, 467
2025-03-19 05:02, 62598191, 467
2025-03-20 05:02, 62612952, 467
2025-03-21 05:02, 62630924, 467
2025-03-22 05:02, 62645062, 467
2025-03-23 05:02, 62658222, 467
2025-03-24 05:02, 62668050, 467
2025-03-25 05:02, 62677561, 467
2025-03-26 05:02, 62690065, 467
2025-03-27 05:02, 62699195, 467
2025-03-28 05:02, 62707375, 467
2025-03-29 05:02, 62718934, 467
2025-03-30 05:02, 62732280, 467
2025-03-31 05:02, 62741818, 467
2025-04-01 05:02, 62754542, 467
2025-04-02 05:02, 62767883, 467
2025-04-03 05:02, 62781234, 467
2025-04-04 05:02, 62789692, 467
2025-04-05 05:02, 62799705, 467
2025-04-06 05:02, 62809004, 467
2025-04-07 05:02, 62818785, 467
2025-04-08 05:02, 62823134, 467
2025-04-09 05:02, 62830465, 467
2025-04-10 05:02, 62832854, 467
2025-04-11 05:02, 62838457, 467
2025-04-12 05:02, 62848927, 467
2025-04-13 05:07, 62853496, 467
2025-04-14 05:02, 62859107, 467
2025-04-15 05:12, 62868197, 467
2025-04-18 05:02, 62894944, 467
